# C3X vane profile transformed to NASA Fig. 8 U/V modeling frame
# x_mm = V_mm, y_mm = U_mm; blade min(V,U) shifted to (0,0)
# source profile is configs/c3x_coordinates.csv
point,x_mm,y_mm
75,24.177837342,36.038370280
76,25.138885104,35.998842747
77,26.103175225,35.944523138
78,27.072320642,35.874069070
79,28.045625745,35.789872100
80,29.022379190,35.694395018
81,30.001854488,35.590169498
82,30.983310616,35.479793638
83,31.966802386,35.362666179
84,32.953165262,35.235581978
85,33.942212237,35.099847601
86,34.933740728,34.956860243
87,35.927546363,34.808048976
88,36.923423092,34.654873217
89,37.921253976,34.497738618
90,38.921129049,34.334626555
91,39.922934944,34.165995215
92,40.926543157,33.992495029
93,41.931825007,33.814788578
94,42.938651663,33.633549832
95,43.946919720,33.449089557
96,44.956586042,33.260553562
97,45.967515550,33.068090147
98,46.979564219,32.871965107
99,47.992587815,32.672448607
100,49.006441943,32.469814875
101,50.020990170,32.264106943
102,51.036140520,32.054815065
103,52.051803067,31.842252055
104,53.067886781,31.626811250
105,54.084300919,31.408889493
106,55.100955002,31.188886668
107,56.117738374,30.966931625
108,57.134492807,30.742528050
109,58.151109894,30.515859464
110,59.167485316,30.287163251
111,60.183514956,30.056678044
112,61.199094900,29.824643449
113,62.214098472,29.591080045
114,63.228371303,29.355698878
115,64.241814418,29.118699918
116,65.254331407,28.880305266
117,66.265826051,28.640737118
118,67.276202311,28.400217522
119,68.285330261,28.158745169
120,69.293048264,27.916095236
121,70.299257613,27.672441803
122,71.303861373,27.427968649
123,72.306762798,27.182858875
124,73.307865320,26.937294712
125,74.307038085,26.691269767
126,75.304123525,26.444622981
127,76.299021727,26.197499667
128,77.291634064,25.950049835
129,78.281862136,25.702422373
130,79.269607775,25.454764908
131,80.254753580,25.207121584
132,81.237154494,24.959396652
133,82.216695504,24.711655446
134,83.193263038,24.463967760
135,84.166744081,24.216402977
136,85.137026194,23.969030013
137,86.103991830,23.721883584
138,87.067513910,23.474933780
139,88.027483636,23.228250181
140,88.983794047,22.981908804
141,89.936338787,22.735984860
142,90.885012122,22.490552708
143,91.829710821,22.245689224
144,92.770336572,22.001460925
145,93.706764944,21.757854340
146,94.638868248,21.514846308
147,95.566520171,21.272415217
148,96.489595820,21.030541039
149,97.407971752,20.789205377
150,98.321559698,20.548496575
151,99.230274063,20.308512468
152,100.133998943,20.069255130
153,101.032619864,19.830727683
154,101.926023803,19.592934311
155,102.814099220,19.355880265
156,103.696741807,19.119589138
157,104.573899810,18.884237838
158,105.445468483,18.649836850
159,106.311327323,18.416345333
160,107.171357951,18.183725290
161,108.025444140,17.951941590
162,108.873471841,17.720961991
163,109.715340229,17.490789286
164,110.551020860,17.261636499
165,111.380421530,17.033531423
166,112.203435576,16.806456020
167,113.019958567,16.580394641
168,113.829888319,16.355334021
169,114.633124914,16.131263267
170,115.429573114,15.908180687
171,116.219236578,15.686361001
172,117.002052164,15.465880246
173,117.777899754,15.246647242
174,118.546662900,15.028577228
175,119.308228833,14.811591817
176,120.062488467,14.595618962
177,120.809336400,14.380592895
178,121.548689568,14.166503229
179,122.280601684,13.953702632
180,123.005009320,13.742242267
181,123.721818628,13.532089474
182,124.430939199,13.323215888
183,125.132284054,13.115597367
184,125.825769627,12.909213913
185,126.511315751,12.704049593
186,127.188845856,12.500092946
187,127.858393997,12.297580165
188,128.519968014,12.096686435
189,129.173484554,11.897376721
190,129.818864281,11.699621000
191,130.456031829,11.503394135
192,131.084915767,11.308675745
193,131.705448552,11.115450074
194,132.317566485,10.923705855
195,132.921209664,10.733436160
196,133.516384395,10.544768195
197,134.103176098,10.357993466
198,134.681527172,10.173105052
199,135.251378067,9.990087780
200,135.812673339,9.808930757
201,136.365361589,9.629627203
202,136.909395386,9.452174278
203,137.444731200,9.276572918
204,137.971329326,9.102827651
205,138.489153808,8.930946432
206,138.998204420,8.761006463
207,139.500877161,8.598013498
208,139.997770554,8.443264714
209,140.487694250,8.294369366
210,140.969568547,8.149160627
211,141.442420166,8.005686857
212,141.905378018,7.862202855
213,142.357668960,7.717161090
214,142.798613553,7.569202935
215,143.227621834,7.417149929
216,143.644189095,7.259995059
217,144.047891690,7.096894102
218,144.438382872,6.927157018
219,144.815375886,6.750054804
220,145.179100201,6.560610784
221,145.429608415,6.342824956
222,145.640215578,6.085362941
223,145.793663988,5.776731856
224,145.887871026,5.435665769
225,145.909279377,5.077146030
226,145.853554782,4.715531236
227,145.709200905,4.373875253
228,145.509786452,4.049416100
229,145.223888018,3.784533406
230,144.882514996,3.585689526
231,144.498027933,3.466982198
232,144.092170081,3.448731672
233,143.677509506,3.497621722
234,143.260338598,3.559117055
235,142.836923905,3.631796315
236,142.407161871,3.714216136
237,141.970934324,3.804745126
238,141.528107856,3.901556735
239,141.078533220,4.002622216
240,140.622044736,4.105703661
241,140.158459691,4.208347149
242,139.687577766,4.307876008
243,139.209269652,4.402438953
244,138.723971795,4.496845652
245,138.231803756,4.592117450
246,137.732796249,4.688205565
247,137.226981280,4.785058934
248,136.714392141,4.882624175
249,136.195063402,4.980845563
250,135.669030903,5.079664993
251,135.136331749,5.179021958
252,134.596996011,5.278859500
253,134.051048636,5.379154291
254,133.498539263,5.479895147
255,132.939520388,5.581072158
256,132.374046480,5.682676824
257,131.802173986,5.784702094
258,131.223961330,5.887142413
259,130.639468916,5.989993757
260,130.048744979,6.093266559
261,129.451822659,6.196928195
262,128.848751804,6.300888422
263,128.239583565,6.405052792
264,127.624370165,6.509323063
265,127.003164892,6.613597192
266,126.376022085,6.717769330
267,125.742990165,6.821748281
268,125.104104442,6.925539652
269,124.459436305,7.029137099
270,123.809062564,7.132530386
271,123.153061984,7.235710796
272,122.491515276,7.338671153
273,121.824505085,7.441405843
274,121.152094993,7.543905059
275,120.474317228,7.646113788
276,119.791245684,7.747953741
277,119.102957397,7.849344708
278,118.409530794,7.950204735
279,117.711045674,8.050450152
280,117.007580637,8.150001447
281,116.299175540,8.248876785
282,115.585902197,8.347041584
283,114.867850069,8.444425931
284,114.145110132,8.540959009
285,113.417774856,8.636569131
286,112.685937884,8.731183730
287,111.949638917,8.824731111
288,111.208938691,8.917186278
289,110.463943370,9.008543288
290,109.714760839,9.098797744
291,108.961500661,9.187946801
292,108.204273744,9.275989815
293,107.443136059,9.363005860
294,106.678147119,9.448920029
295,105.909404181,9.533543453
296,105.137005579,9.616683512
297,104.361050691,9.698143985
298,103.581635891,9.777732419
299,102.798785202,9.855450900
300,102.012590465,9.931345144
301,101.223180853,10.005421925
302,100.430687101,10.077689816
303,99.635241441,10.148159166
304,98.836950898,10.216850920
305,98.035823877,10.283757594
306,97.231971125,10.348752232
307,96.425519401,10.411697134
308,95.616596587,10.472453619
309,94.805331632,10.530882161
310,93.991767882,10.586979578
311,93.175953339,10.640788835
312,92.358031341,10.692231069
313,91.538146339,10.741227800
314,90.716443820,10.787701024
315,89.893043276,10.831590576
316,89.067925586,10.872929876
317,88.241215093,10.911667220
318,87.413066547,10.947733177
319,86.583635525,10.981059165
320,85.753078074,11.011577633
321,84.921411540,11.039284191
322,84.088680959,11.064174751
323,83.255050487,11.086198468
324,82.420684843,11.105305709
325,81.585749207,11.121448118
326,80.750349495,11.134622757
327,79.914442520,11.144905109
328,79.078183883,11.152185576
329,78.241748506,11.156340109
330,77.405311436,11.157246095
331,76.569037105,11.154793458
332,75.732867220,11.149110188
333,74.896892562,11.140189492
334,74.061302832,11.127926794
335,73.226287423,11.112219485
336,72.392035293,11.092967057
337,71.558594488,11.070124101
338,70.725911652,11.043753640
339,69.894176224,11.013879961
340,69.063581354,10.980527814
341,68.234319275,10.943723621
342,67.406541013,10.903514364
343,66.580121261,10.860021821
344,65.755200602,10.813144380
345,64.931989892,10.762741055
346,64.110698388,10.708674426
347,63.291533597,10.650810815
348,62.474467379,10.589210492
349,61.659446348,10.524016143
350,60.846688139,10.455184500
351,60.036408405,10.382675017
352,59.228820360,10.306450159
353,58.424083237,10.226496267
354,57.622001700,10.142947743
355,56.822710494,10.055811894
356,56.026430930,9.965063278
357,55.233381128,9.870679612
358,54.443775865,9.772641813
359,53.657636952,9.670985638
360,52.874800751,9.565820603
361,52.095474067,9.457174282
362,51.319870505,9.345073993
363,50.548199728,9.229549444
364,49.780666114,9.110633200
365,49.017125197,8.988481078
366,48.257528564,8.863161158
367,47.502106936,8.734623142
368,46.751085868,8.602821530
369,46.004685623,8.467715674
370,45.263111905,8.329271801
371,44.526162338,8.187578986
372,43.793814753,8.042778218
373,43.066262724,7.894978912
374,42.343694738,7.744290774
375,41.626294104,7.590823735
376,40.914236806,7.434688242
377,40.207336013,7.276036078
378,39.505527938,7.114923897
379,38.809020815,6.951347719
380,38.118016185,6.785307990
381,37.432708829,6.616809563
382,36.753286707,6.445861684
383,36.079747218,6.272525461
384,35.411820072,6.096977499
385,34.749654311,5.919326882
386,34.093412610,5.739678700
387,33.443251389,5.558138227
388,32.799320798,5.374810868
389,32.161760585,5.189801527
390,31.530375410,5.003174048
391,30.905091396,4.815022577
392,30.286042009,4.625472158
393,29.673354857,4.434646720
394,29.067151704,4.242669021
395,28.467548493,4.049660596
396,27.874653140,3.855741017
397,27.288304347,3.660950943
398,26.708420884,3.465368758
399,26.135100255,3.269130082
400,25.568434907,3.072368127
401,25.008512264,2.875213661
402,24.455414778,2.677794980
403,23.909219976,2.480237877
404,23.370279053,2.281722728
405,22.839545651,2.079137785
406,22.316382247,1.874444165
407,21.800021017,1.670045906
